rank,address,balance_raw,balance_formatted,percentage_of_supply
17962,0xa0e034dd20a1edf18f5331b2e5db23fbbf3a8447,1000000000000404699,1.000000000000404787,0.000000
17963,0x14526fea5fd4c69dd9ce04312a382473e043e412,1000000000000373961,1.000000000000373923,0.000000
17964,0xbd3d8ded149c66257fd20fcad44a98ee91800817,1000000000000361833,1.000000000000361933,0.000000
17965,0xea94674b9c7a9f15a4701ae0a288c00b9c0f9a69,1000000000000275968,1.000000000000276001,0.000000
17966,0x7b82c2a70a5474100365796dd91706175285a497,1000000000000246720,1.000000000000246692,0.000000
17967,0x34390c4d23f973b95a3d127df5e0ebcad9fec731,1000000000000060511,1.000000000000060618,0.000000
17968,0xf60428b63af344fd677cbf3d9a9d30729588a91a,1000000000000000000,1.000000000000000000,0.000000
17969,0xe3966f625574a12e5c8ba598555dc47a3acf4a91,1000000000000000000,1.000000000000000000,0.000000
17970,0xe097b4ae89b03ea0c9e7023ac099321bb0eb580f,1000000000000000000,1.000000000000000000,0.000000
17971,0xdb9780adfb104d582b93a379de312e538afbbfdf,1000000000000000000,1.000000000000000000,0.000000
17972,0xc28a389b33bfd93c2f96b5f642e0d2555371f511,1000000000000000000,1.000000000000000000,0.000000
17973,0xb429facf6234d226b4b6f20c0532fe4cbf1b3c76,1000000000000000000,1.000000000000000000,0.000000
17974,0xa972e490944ddba35321b0626706f5a2e5810e11,1000000000000000000,1.000000000000000000,0.000000
17975,0x6b56cb580495afe01fa16793f45b7e0ba8fd69db,1000000000000000000,1.000000000000000000,0.000000
17976,0x5c0bedf52c938fff141ed593bde5d20e584034cc,1000000000000000000,1.000000000000000000,0.000000
17977,0x512e8ce7d39479d6ea1b61e61ccf790f48c51b82,1000000000000000000,1.000000000000000000,0.000000
17978,0x47a710fa6bed241a8ef0080f10cad9a90bd670ca,1000000000000000000,1.000000000000000000,0.000000
17979,0x1f9e117a65697fb298cf82702a455b86cc8a0ae1,1000000000000000000,1.000000000000000000,0.000000
17980,0x145f793ee00b5d5a728ed672e4e797a278287869,1000000000000000000,1.000000000000000000,0.000000
17981,0x13ee9e4d8afb8c885234ba2dfb5c1e57f20e14cf,1000000000000000000,1.000000000000000000,0.000000
17982,0x0a8b75c513eddaf72a88f9a4cae62bc8c6a3f992,1000000000000000000,1.000000000000000000,0.000000
17983,0x03b8d114750ebcbc7acbcfaea8d0eacc8655b41f,1000000000000000000,1.000000000000000000,0.000000
17984,0xc88aff82a736ad0b1dd4d0672e9b7a7e1719f643,999999999999987396,0.999999999999987343,0.000000
17985,0xf90f8b1d17a7162dfb2a31c2a96efc8d237bb20a,999999999999938361,0.999999999999938383,0.000000
17986,0xfb526f45fb83a4e1d13099283f07aba3f949502e,999999999999823819,0.999999999999823808,0.000000
17987,0xb24f334c5a407e4c0d59161713350820abd16c58,999999999999775653,0.999999999999775624,0.000000
17988,0x0328248df590cd90f0d8b0f595baa51a5ea54c19,999999999999715969,0.999999999999716005,0.000000
17989,0xe824b2a7ef9aad63c898b3d8e5d89548284e6402,999999999999675148,0.999999999999675149,0.000000
17990,0xe36165aa9a30e219f62dc725b05a8f33cd262471,999999999999510424,0.999999999999510392,0.000000
17991,0x3d3cee9a64db3607cd3ea08f25c0020f9a51e345,999999999999491362,0.999999999999491407,0.000000
17992,0x6a9ee2405befa44c015d5016c932ff0954114e72,999999999999465133,0.999999999999465095,0.000000
17993,0x61a94a8f422c9a524194173950d47a2f0fe331a1,999999999999337644,0.999999999999337641,0.000000
17994,0xf431b20087bc018b68e3a52ba993dd47e2441c73,999999999999082751,0.999999999999082734,0.000000
17995,0x4a68409e895bfedf3c2eb0900f46e133dae22140,999999999998941790,0.999999999998941735,0.000000
17996,0xbfddca115c01f99ba6cbd4edc904aeb0e34f14bb,999999999998940472,0.999999999998940514,0.000000
17997,0x8aa0b6eabf0bdfe18569fc3fa1f6c3b86cf057c5,999999999998904577,0.999999999998904543,0.000000
17998,0xd57d5ac5090f52510ae1404e2691d6848f93986e,999999999998857088,0.999999999998857136,0.000000
17999,0x3de919dd85bab86a26eda2330a2d694b5d68606d,999999999998847958,0.999999999998847922,0.000000
18000,0x1816121d0b0c81d36ee40ce4c34b08cb988d90d6,999999999998818155,0.999999999998818168,0.000000
18001,0x774f77e227579d2dddae7606ed5ee30df6b4c7ec,999999999998773811,0.999999999998773759,0.000000
18002,0xf37dd568945aff3848254ea688e3fda3f97f63d0,999999999998760788,0.999999999998760769,0.000000
18003,0x324011f2eae46b420d5edae8bc7f9f8bf7543b40,999999999998651416,0.999999999998651412,0.000000
18004,0x1cc8400063f4f0596b73497d4a781998e477554a,999999999998643823,0.999999999998643863,0.000000
18005,0x20bcb07901f8df8616112a4a4da18ed2c6a637e1,999999999998339933,0.999999999998339884,0.000000
18006,0xfdc52731cb3a8610745b4f8dd59f189cf3a11cdd,999999999998202428,0.999999999998202438,0.000000
18007,0x19bf9c5e640bc4467dbcddfc5bcb2ed833d93a0f,999999999998198061,0.999999999998198108,0.000000
18008,0xaf6e806f4a516ac79e9dbb1681c262a3389d147b,999999999998123994,0.999999999998123945,0.000000
18009,0xac9cb0fa3061db2cede2281154e46ec9e9185989,999999999998109171,0.999999999998109179,0.000000
18010,0x1e496015b1dcc5968a5909b2bb0c91e29eb5ca9b,999999999998092983,0.999999999998092970,0.000000
18011,0xd16d9add7855dcf2934d0257c3dace81254a7340,999999999998022405,0.999999999998022360,0.000000
18012,0xa892c28a56a98492dcb693ef48a522cb82b1d015,999999999998003805,0.999999999998003819,0.000000
18013,0x0c8d9c278973de0838f9a22ceecf8b5c62439cd8,999999999997967304,0.999999999997967293,0.000000
18014,0x2f56ff6adbad2145b2f71d75bde6219361ddbe9e,999999999997934727,0.999999999997934763,0.000000
18015,0x606b2deabad605062cd06e26a89edca9d1fedae1,999999999997562898,0.999999999997562949,0.000000
18016,0x09d7f578b15c6be357eb14eed3ab1ed21f70015b,999999999997524895,0.999999999997524869,0.000000
18017,0xd4f4aa98f988ffa421605912648b1b8bb7cacd82,999999999997503666,0.999999999997503664,0.000000
18018,0x51553aaff8ab79f2e2a459a9faa58223371f7dd6,999999999997379116,0.999999999997379097,0.000000
18019,0x2b3b51a725120267fb98b83e452a67086deadf48,999999999997207927,0.999999999997207900,0.000000
18020,0x62a9bda3ed261a32ae29a3b98011f591a34f9104,999999999997184588,0.999999999997184585,0.000000
18021,0xe21d2b12c6339240665519c66a3b2aaadfd618a2,999999999997161808,0.999999999997161826,0.000000
18022,0xb0fd177573f97243b7960ac38a297c07da9a17b7,999999999997150586,0.999999999997150613,0.000000
18023,0xffea71144a3e02f40aa2220ff85799bf16834861,999999999997149269,0.999999999997149280,0.000000
18024,0xd045358d482e7fba7aa99372e752bd382e652d33,999999999997144570,0.999999999997144617,0.000000
18025,0x174dfb372384df3939613c0169ad13c9399badd2,999999999997072610,0.999999999997072564,0.000000
18026,0x4bb309ab902eb2789fe9a8b06912e517053df4e3,999999999996995480,0.999999999996995514,0.000000
18027,0xffa19c31d0d9ec852550f0389c5e01657563c748,999999999996994678,0.999999999996994626,0.000000
